node1	label	node2	id
P3190	Psort_order	asc	P3190-Psort_order-d68d3f
P3190	Psort_criterion	value	P3190-Psort_criterion-cd4240
P3191	datatype	external-id	P3191-datatype-1a57bf
P3191	Psort_order	asc	P3191-Psort_order-d68d3f
P3191	Psort_criterion	value	P3191-Psort_criterion-cd4240
P3192	datatype	external-id	P3192-datatype-1a57bf
P3192	Psort_order	asc	P3192-Psort_order-d68d3f
P3192	Psort_criterion	value	P3192-Psort_criterion-cd4240
P3193	datatype	external-id	P3193-datatype-1a57bf
P3193	Psort_order	asc	P3193-Psort_order-d68d3f
P3193	Psort_criterion	value	P3193-Psort_criterion-cd4240
P3194	datatype	external-id	P3194-datatype-1a57bf
P3194	Psort_order	asc	P3194-Psort_order-d68d3f
P3194	Psort_criterion	value	P3194-Psort_criterion-cd4240
P3195	datatype	wikibase-item	P3195-datatype-643cc9
P3195	Psort_order	asc	P3195-Psort_order-d68d3f
P3195	Psort_criterion	value	P3195-Psort_criterion-cd4240
P3196	datatype	external-id	P3196-datatype-1a57bf
P3196	Psort_order	asc	P3196-Psort_order-d68d3f
P3196	Psort_criterion	value	P3196-Psort_criterion-cd4240
P3197	datatype	external-id	P3197-datatype-1a57bf
P3197	Psort_order	asc	P3197-Psort_order-d68d3f
P3197	Psort_criterion	value	P3197-Psort_criterion-cd4240
P3198	datatype	external-id	P3198-datatype-1a57bf
P3198	Psort_order	asc	P3198-Psort_order-d68d3f
P3198	Psort_criterion	value	P3198-Psort_criterion-cd4240
P3199	datatype	external-id	P3199-datatype-1a57bf
P3199	Psort_order	asc	P3199-Psort_order-d68d3f
P3199	Psort_criterion	value	P3199-Psort_criterion-cd4240
P3200	datatype	external-id	P3200-datatype-1a57bf
P3200	Psort_order	asc	P3200-Psort_order-d68d3f
P3200	Psort_criterion	value	P3200-Psort_criterion-cd4240
P3201	datatype	external-id	P3201-datatype-1a57bf
P3201	Psort_order	asc	P3201-Psort_order-d68d3f
P3201	Psort_criterion	value	P3201-Psort_criterion-cd4240
P3202	datatype	external-id	P3202-datatype-1a57bf
P3202	Psort_order	asc	P3202-Psort_order-d68d3f
P3202	Psort_criterion	value	P3202-Psort_criterion-cd4240
P3203	datatype	external-id	P3203-datatype-1a57bf
P3203	Psort_order	asc	P3203-Psort_order-d68d3f
P3203	Psort_criterion	value	P3203-Psort_criterion-cd4240
P3204	datatype	external-id	P3204-datatype-1a57bf
P3204	Psort_order	asc	P3204-Psort_order-d68d3f
P3204	Psort_criterion	value	P3204-Psort_criterion-cd4240
P3205	datatype	wikibase-item	P3205-datatype-643cc9
P3205	Psort_order	asc	P3205-Psort_order-d68d3f
P3205	Psort_criterion	value	P3205-Psort_criterion-cd4240
P3206	datatype	external-id	P3206-datatype-1a57bf
P3206	Psort_order	asc	P3206-Psort_order-d68d3f
P3206	Psort_criterion	value	P3206-Psort_criterion-cd4240
P3207	datatype	external-id	P3207-datatype-1a57bf
P3207	Psort_order	asc	P3207-Psort_order-d68d3f
P3207	Psort_criterion	value	P3207-Psort_criterion-cd4240
P3208	datatype	external-id	P3208-datatype-1a57bf
P3208	Psort_order	asc	P3208-Psort_order-d68d3f
P3208	Psort_criterion	value	P3208-Psort_criterion-cd4240
P3209	datatype	external-id	P3209-datatype-1a57bf
P3209	Psort_order	asc	P3209-Psort_order-d68d3f
P3209	Psort_criterion	value	P3209-Psort_criterion-cd4240
P3211	datatype	external-id	P3211-datatype-1a57bf
P3211	Psort_order	asc	P3211-Psort_order-d68d3f
P3211	Psort_criterion	value	P3211-Psort_criterion-cd4240
P3212	datatype	external-id	P3212-datatype-1a57bf
P3212	Psort_order	asc	P3212-Psort_order-d68d3f
P3212	Psort_criterion	value	P3212-Psort_criterion-cd4240
P3213	datatype	external-id	P3213-datatype-1a57bf
P3213	Psort_order	asc	P3213-Psort_order-d68d3f
P3213	Psort_criterion	value	P3213-Psort_criterion-cd4240
P3215	datatype	external-id	P3215-datatype-1a57bf
P3215	Psort_order	asc	P3215-Psort_order-d68d3f
P3215	Psort_criterion	value	P3215-Psort_criterion-cd4240
P3216	datatype	wikibase-item	P3216-datatype-643cc9
P3216	Psort_order	asc	P3216-Psort_order-d68d3f
P3216	Psort_criterion	value	P3216-Psort_criterion-cd4240
P3217	datatype	external-id	P3217-datatype-1a57bf
P3217	Psort_order	asc	P3217-Psort_order-d68d3f
P3217	Psort_criterion	value	P3217-Psort_criterion-cd4240
P3218	datatype	external-id	P3218-datatype-1a57bf
P3218	Psort_order	asc	P3218-Psort_order-d68d3f
P3218	Psort_criterion	value	P3218-Psort_criterion-cd4240
P3219	datatype	external-id	P3219-datatype-1a57bf
P3219	Psort_order	asc	P3219-Psort_order-d68d3f
P3219	Psort_criterion	value	P3219-Psort_criterion-cd4240
P3220	datatype	external-id	P3220-datatype-1a57bf
P3220	Psort_order	asc	P3220-Psort_order-d68d3f
P3220	Psort_criterion	value	P3220-Psort_criterion-cd4240
P3221	datatype	external-id	P3221-datatype-1a57bf
P3221	Psort_order	asc	P3221-Psort_order-d68d3f
P3221	Psort_criterion	value	P3221-Psort_criterion-cd4240
P3222	datatype	external-id	P3222-datatype-1a57bf
P3222	Psort_order	asc	P3222-Psort_order-d68d3f
P3222	Psort_criterion	value	P3222-Psort_criterion-cd4240
P3223	datatype	external-id	P3223-datatype-1a57bf
P3223	Psort_order	asc	P3223-Psort_order-d68d3f
P3223	Psort_criterion	value	P3223-Psort_criterion-cd4240
P3224	datatype	external-id	P3224-datatype-1a57bf
P3224	Psort_order	asc	P3224-Psort_order-d68d3f
P3224	Psort_criterion	value	P3224-Psort_criterion-cd4240
P3225	datatype	external-id	P3225-datatype-1a57bf
P3225	Psort_order	asc	P3225-Psort_order-d68d3f
P3225	Psort_criterion	value	P3225-Psort_criterion-cd4240
P3226	datatype	external-id	P3226-datatype-1a57bf
P3226	Psort_order	asc	P3226-Psort_order-d68d3f
P3226	Psort_criterion	value	P3226-Psort_criterion-cd4240
P3227	datatype	external-id	P3227-datatype-1a57bf
P3227	Psort_order	asc	P3227-Psort_order-d68d3f
P3227	Psort_criterion	value	P3227-Psort_criterion-cd4240
P3228	datatype	string	P3228-datatype-473287
P3228	Psort_order	asc	P3228-Psort_order-d68d3f
P3228	Psort_criterion	value	P3228-Psort_criterion-cd4240
P3229	datatype	external-id	P3229-datatype-1a57bf
P3229	Psort_order	asc	P3229-Psort_order-d68d3f
P3229	Psort_criterion	value	P3229-Psort_criterion-cd4240
P3230	datatype	external-id	P3230-datatype-1a57bf
P3230	Psort_order	asc	P3230-Psort_order-d68d3f
P3230	Psort_criterion	value	P3230-Psort_criterion-cd4240
P3232	datatype	external-id	P3232-datatype-1a57bf
P3232	Psort_order	asc	P3232-Psort_order-d68d3f
P3232	Psort_criterion	value	P3232-Psort_criterion-cd4240
P3233	datatype	external-id	P3233-datatype-1a57bf
P3233	Psort_order	asc	P3233-Psort_order-d68d3f
P3233	Psort_criterion	value	P3233-Psort_criterion-cd4240
P3234	datatype	external-id	P3234-datatype-1a57bf
P3234	Psort_order	asc	P3234-Psort_order-d68d3f
P3234	Psort_criterion	value	P3234-Psort_criterion-cd4240
P3235	datatype	external-id	P3235-datatype-1a57bf
P3235	Psort_order	asc	P3235-Psort_order-d68d3f
P3235	Psort_criterion	value	P3235-Psort_criterion-cd4240
P3236	datatype	external-id	P3236-datatype-1a57bf
P3236	Psort_order	asc	P3236-Psort_order-d68d3f
P3236	Psort_criterion	value	P3236-Psort_criterion-cd4240
P3237	datatype	external-id	P3237-datatype-1a57bf
P3237	Psort_order	asc	P3237-Psort_order-d68d3f
P3237	Psort_criterion	value	P3237-Psort_criterion-cd4240
P3238	datatype	string	P3238-datatype-473287
P3238	Psort_order	asc	P3238-Psort_order-d68d3f
P3238	Psort_criterion	value	P3238-Psort_criterion-cd4240
P3240	datatype	external-id	P3240-datatype-1a57bf
P3240	Psort_order	asc	P3240-Psort_order-d68d3f
P3240	Psort_criterion	value	P3240-Psort_criterion-cd4240
P3241	datatype	external-id	P3241-datatype-1a57bf
P3241	Psort_order	asc	P3241-Psort_order-d68d3f
P3241	Psort_criterion	value	P3241-Psort_criterion-cd4240
P3242	datatype	external-id	P3242-datatype-1a57bf
P3242	Psort_order	asc	P3242-Psort_order-d68d3f
P3242	Psort_criterion	value	P3242-Psort_criterion-cd4240
P3243	datatype	external-id	P3243-datatype-1a57bf
P3243	Psort_criterion	qualifier	P3243-Psort_criterion-5da6e4
P3243-Psort_criterion-5da6e4	Psort_qualifier	P1448	P3243-Psort_criterion-5da6e4-Psort_qualifier-P1448
P3243-Psort_criterion-5da6e4	Psort_order	asc	P3243-Psort_criterion-5da6e4-Psort_order-d68d3f
P3243-Psort_criterion-5da6e4	datatype	monolingualtext	P3243-Psort_criterion-5da6e4-datatype-35c299
P3245	datatype	external-id	P3245-datatype-1a57bf
P3245	Psort_criterion	qualifier	P3245-Psort_criterion-5da6e4
P3245-Psort_criterion-5da6e4	Psort_qualifier	P1448	P3245-Psort_criterion-5da6e4-Psort_qualifier-P1448
P3245-Psort_criterion-5da6e4	Psort_order	asc	P3245-Psort_criterion-5da6e4-Psort_order-d68d3f
P3245-Psort_criterion-5da6e4	datatype	monolingualtext	P3245-Psort_criterion-5da6e4-datatype-35c299
P3246	datatype	external-id	P3246-datatype-1a57bf
P3246	Psort_criterion	qualifier	P3246-Psort_criterion-5da6e4
P3246-Psort_criterion-5da6e4	Psort_qualifier	P1448	P3246-Psort_criterion-5da6e4-Psort_qualifier-P1448
P3246-Psort_criterion-5da6e4	Psort_order	asc	P3246-Psort_criterion-5da6e4-Psort_order-d68d3f
P3246-Psort_criterion-5da6e4	datatype	monolingualtext	P3246-Psort_criterion-5da6e4-datatype-35c299
P3248	datatype	external-id	P3248-datatype-1a57bf
P3248	Psort_criterion	qualifier	P3248-Psort_criterion-5da6e4
P3248-Psort_criterion-5da6e4	Psort_qualifier	P1448	P3248-Psort_criterion-5da6e4-Psort_qualifier-P1448
P3248-Psort_criterion-5da6e4	Psort_order	asc	P3248-Psort_criterion-5da6e4-Psort_order-d68d3f
P3248-Psort_criterion-5da6e4	datatype	monolingualtext	P3248-Psort_criterion-5da6e4-datatype-35c299
P3250	datatype	external-id	P3250-datatype-1a57bf
P3250	Psort_criterion	qualifier	P3250-Psort_criterion-5da6e4
P3250-Psort_criterion-5da6e4	Psort_qualifier	P1448	P3250-Psort_criterion-5da6e4-Psort_qualifier-P1448
P3250-Psort_criterion-5da6e4	Psort_order	asc	P3250-Psort_criterion-5da6e4-Psort_order-d68d3f
P3250-Psort_criterion-5da6e4	datatype	monolingualtext	P3250-Psort_criterion-5da6e4-datatype-35c299
P3251	datatype	quantity	P3251-datatype-1a7b30
P3251	Psort_order	asc	P3251-Psort_order-d68d3f
P3251	Psort_criterion	value	P3251-Psort_criterion-cd4240
P3252	datatype	quantity	P3252-datatype-1a7b30
P3252	Psort_order	asc	P3252-Psort_order-d68d3f
P3252	Psort_criterion	value	P3252-Psort_criterion-cd4240
P3253	datatype	quantity	P3253-datatype-1a7b30
P3253	Psort_order	asc	P3253-Psort_order-d68d3f
P3253	Psort_criterion	value	P3253-Psort_criterion-cd4240
P3254	datatype	url	P3254-datatype-28e5eb
P3254	Psort_order	asc	P3254-Psort_order-d68d3f
P3254	Psort_criterion	value	P3254-Psort_criterion-cd4240
P3256	datatype	external-id	P3256-datatype-1a57bf
P3256	Psort_order	asc	P3256-Psort_order-d68d3f
P3256	Psort_criterion	value	P3256-Psort_criterion-cd4240
P3257	datatype	external-id	P3257-datatype-1a57bf
P3257	Psort_order	asc	P3257-Psort_order-d68d3f
P3257	Psort_criterion	value	P3257-Psort_criterion-cd4240
P3258	datatype	external-id	P3258-datatype-1a57bf
P3258	Psort_order	asc	P3258-Psort_order-d68d3f
P3258	Psort_criterion	value	P3258-Psort_criterion-cd4240
P3259	datatype	wikibase-item	P3259-datatype-643cc9
P3259	Psort_criterion	qualifier	P3259-Psort_criterion-5da6e4
P3259-Psort_criterion-5da6e4	Psort_qualifier	P580	P3259-Psort_criterion-5da6e4-Psort_qualifier-P580
P3259-Psort_criterion-5da6e4	Psort_order	desc	P3259-Psort_criterion-5da6e4-Psort_order-97864e
P3259-Psort_criterion-5da6e4	datatype	time	P3259-Psort_criterion-5da6e4-datatype-336074
